case_id;line_id;from;to;time
1;1;Новый;Рассмотрение заказчиком;184.0811364276771
1;2;Рассмотрение заказчиком;Оценка кандидата;216.7719117797362
1;3;Оценка кандидата;Отклонен;222.7006539696791
2;1;Новый;Рассмотрение заказчиком;528.7871130473619
2;2;Рассмотрение заказчиком;Интервью;104.0499615193533
2;3;Интервью;Заполнение анкеты;0.8671214386236301
2;4;Заполнение анкеты;Проверка;255.3592050144244
2;5;Проверка;Решение о найме;514.5295104041709
2;6;Решение о найме;Согласование офера в компании;109.9578492470389
2;7;Согласование офера в компании;Готов к оформлению;96.43004494767564
2;8;Готов к оформлению;Оформление;80.89078299920536
2;9;Оформление;Оформлен;3.49680473980605
3;1;Новый;Рассмотрение заказчиком;650.688047952566
3;2;Рассмотрение заказчиком;Отклонен;211.0284240674832
4;1;Новый;Рассмотрение заказчиком;42.14396783549697
4;2;Рассмотрение заказчиком;Планирование интервью;684.3953637571275
4;3;Планирование интервью;Интервью;33.00967665405408
4;4;Интервью;Заполнение анкеты;1.575957478293153
4;5;Заполнение анкеты;Заполнение анкеты;74.58669526963675
4;6;Заполнение анкеты;Проверка;201.6204147521525
4;7;Проверка;Решение о найме;227.5411977804463
4;8;Решение о найме;Согласование офера в компании;44.77582560207374
4;9;Согласование офера в компании;Готов к оформлению;50.60527492607299
4;10;Готов к оформлению;Оформление;87.36936972713761
4;11;Оформление;Оформлен;3.090978456941667
5;1;Новый;Рассмотрение рекрутером;666.8038396503586
5;2;Рассмотрение рекрутером;Готов к переводу;3.554348643306097
5;3;Готов к переводу;Оформлен;145.3017683151233
6;1;Новый;Рассмотрение рекрутером;265.4353963093147
6;2;Рассмотрение рекрутером;Не выходит на связь;1.231159162511525
6;3;Не выходит на связь;Отклонен;596.4122116205679
7;1;Новый;Рассмотрение заказчиком;487.9950136473107
7;2;Рассмотрение заказчиком;Отклонен;109.338436080529
8;1;Новый;Рассмотрение заказчиком;275.9321063145625
8;2;Рассмотрение заказчиком;Оценка кандидата;225.7585877672473
8;3;Оценка кандидата;Отклонен;633.9929708238138
9;1;Новый;Рассмотрение заказчиком;488.1486622995826
9;2;Рассмотрение заказчиком;Интервью;222.4570965616835
9;3;Интервью;Планирование интервью;1.301908844728184
9;4;Планирование интервью;Отклонен;360.6691073216846
10;1;Новый;Рассмотрение рекрутером;524.6464651994487
10;2;Рассмотрение рекрутером;Оценка кандидата;3.31592559193377
10;3;Оценка кандидата;Отклонен;699.2223336176401
11;1;Новый;Рассмотрение рекрутером;314.5806839829941
11;2;Рассмотрение рекрутером;Резерв;1.65450661576805
11;3;Резерв;Отклонен;8364.545886682674
12;1;Новый;Рассмотрение рекрутером;538.8249385536888
12;2;Рассмотрение рекрутером;Готов к переводу;2.086116612707026
12;3;Готов к переводу;Отклонен;245.0265847242871
13;1;Новый;Рассмотрение заказчиком;95.89417398654433
13;2;Рассмотрение заказчиком;Планирование интервью;508.6245742975967
13;3;Планирование интервью;Отклонен;461.5330815076703
14;1;Новый;Рассмотрение рекрутером;114.9790817440284
14;2;Рассмотрение рекрутером;Самоотказ;1.508149809234866
14;3;Самоотказ;Отклонен;328.9028807469691
15;1;Новый;Рассмотрение заказчиком;95.01828515648374
15;2;Рассмотрение заказчиком;Отклонен;401.589222846206
16;1;Новый;Рассмотрение заказчиком;294.0900329168837
16;2;Рассмотрение заказчиком;Интервью;252.4172027191113
16;3;Интервью;Заполнение анкеты;1.588851617505875
16;4;Заполнение анкеты;Заполнение анкеты;265.2394079705393
16;5;Заполнение анкеты;Заполнение анкеты;222.4737434020646
16;6;Заполнение анкеты;Проверка;100.1879457612357
16;7;Проверка;Решение о найме;433.9951537586094
16;8;Решение о найме;Согласование офера в компании;43.62594160000009
16;9;Согласование офера в компании;Готов к оформлению;233.7570803430478
16;10;Готов к оформлению;Оформление;24.93331059968197
16;11;Оформление;Оформлен;2.862024886794412
17;1;Новый;Рассмотрение заказчиком;488.2493763891574
17;2;Рассмотрение заказчиком;Планирование интервью;564.9425824010752
17;3;Планирование интервью;Отклонен;173.3622546197689
18;1;Новый;Рассмотрение заказчиком;29.61335634430063
18;2;Рассмотрение заказчиком;Планирование интервью;45.74762210630839
18;3;Планирование интервью;Отклонен;309.0673358972236
19;1;Новый;Рассмотрение рекрутером;277.3448296709148
19;2;Рассмотрение рекрутером;Оценка кандидата;1.510175689828039
19;3;Оценка кандидата;Отклонен;71.42638247368679
20;1;Новый;Рассмотрение рекрутером;186.7142716335067
20;2;Рассмотрение рекрутером;Оценка кандидата;3.062499050183335
20;3;Оценка кандидата;Отклонен;704.0394306292395
21;1;Новый;Рассмотрение рекрутером;54.8058594190542
21;2;Рассмотрение рекрутером;Не выходит на связь;2.014807131123222
21;3;Не выходит на связь;Рассмотрение заказчиком;91.8494457277532
21;4;Рассмотрение заказчиком;Планирование интервью;346.4832959518861
21;5;Планирование интервью;Отклонен;15.32328802003904
22;1;Новый;Рассмотрение заказчиком;127.7322840542147
22;2;Рассмотрение заказчиком;Оценка кандидата;411.7845165817641
22;3;Оценка кандидата;Отклонен;138.4383228247065
23;1;Новый;Рассмотрение заказчиком;461.2551668325753
23;2;Рассмотрение заказчиком;Оценка кандидата;613.9634234494999
23;3;Оценка кандидата;Отклонен;507.270607377505
