case_id,line_id,from,to,time,start_time,end_time
1,1,Новый,Рассмотрение заказчиком,184.0811364276771,2024-01-01 00:05:57.610102,2024-01-08 16:10:49.610102
1,2,Рассмотрение заказчиком,Оценка кандидата,216.7719117797362,2024-01-08 16:10:49.610102,2024-01-17 16:57:07.610102
1,3,Оценка кандидата,Отклонен,222.7006539696791,2024-01-17 16:57:07.610102,2024-01-26 23:39:10.610102
2,1,Новый,Рассмотрение заказчиком,528.7871130473619,2024-01-01 00:04:09.877632,2024-01-23 00:51:22.877632
2,2,Рассмотрение заказчиком,Интервью,104.0499615193533,2024-01-23 00:51:22.877632,2024-01-27 08:54:22.877632
2,3,Интервью,Заполнение анкеты,0.8671214386236301,2024-01-27 08:54:22.877632,2024-01-27 09:46:24.877632
2,4,Заполнение анкеты,Проверка,255.3592050144244,2024-01-27 09:46:24.877632,2024-02-07 01:07:57.877632
2,5,Проверка,Решение о найме,514.5295104041709,2024-02-07 01:07:57.877632,2024-02-28 11:39:43.877632
2,6,Решение о найме,Согласование офера в компании,109.9578492470389,2024-02-28 11:39:43.877632,2024-03-04 01:37:11.877632
2,7,Согласование офера в компании,Готов к оформлению,96.43004494767564,2024-03-04 01:37:11.877632,2024-03-08 02:02:59.877632
2,8,Готов к оформлению,Оформление,80.89078299920536,2024-03-08 02:02:59.877632,2024-03-11 10:56:26.877632
2,9,Оформление,Оформлен,3.49680473980605,2024-03-11 10:56:26.877632,2024-03-11 14:26:15.877632
3,1,Новый,Рассмотрение заказчиком,650.688047952566,2024-01-01 00:01:42.980099,2024-01-28 02:42:58.980099
3,2,Рассмотрение заказчиком,Отклонен,211.0284240674832,2024-01-28 02:42:58.980099,2024-02-05 21:44:41.980099
4,1,Новый,Рассмотрение заказчиком,42.14396783549697,2024-01-01 00:04:27.150796,2024-01-02 18:13:05.150796
4,2,Рассмотрение заказчиком,Планирование интервью,684.3953637571275,2024-01-02 18:13:05.150796,2024-01-31 06:36:48.150796
4,3,Планирование интервью,Интервью,33.00967665405408,2024-01-31 06:36:48.150796,2024-02-01 15:37:23.150796
4,4,Интервью,Заполнение анкеты,1.575957478293153,2024-02-01 15:37:23.150796,2024-02-01 17:11:56.150796
4,5,Заполнение анкеты,Заполнение анкеты,74.58669526963675,2024-02-01 17:11:56.150796,2024-02-04 19:47:08.150796
4,6,Заполнение анкеты,Проверка,201.6204147521525,2024-02-04 19:47:08.150796,2024-02-13 05:24:22.150796
4,7,Проверка,Решение о найме,227.5411977804463,2024-02-13 05:24:22.150796,2024-02-22 16:56:50.150796
4,8,Решение о найме,Согласование офера в компании,44.77582560207374,2024-02-22 16:56:50.150796,2024-02-24 13:43:23.150796
4,9,Согласование офера в компании,Готов к оформлению,50.60527492607299,2024-02-24 13:43:23.150796,2024-02-26 16:19:42.150796
4,10,Готов к оформлению,Оформление,87.36936972713761,2024-02-26 16:19:42.150796,2024-03-01 07:41:52.150796
4,11,Оформление,Оформлен,3.090978456941667,2024-03-01 07:41:52.150796,2024-03-01 10:47:20.150796
5,1,Новый,Рассмотрение рекрутером,666.8038396503586,2024-01-01 00:01:52.235611,2024-01-28 18:50:05.235611
5,2,Рассмотрение рекрутером,Готов к переводу,3.554348643306097,2024-01-28 18:50:05.235611,2024-01-28 22:23:21.235611
5,3,Готов к переводу,Оформлен,145.3017683151233,2024-01-28 22:23:21.235611,2024-02-03 23:41:27.235611
6,1,Новый,Рассмотрение рекрутером,265.4353963093147,2024-01-01 00:04:17.819968,2024-01-12 01:30:24.819968
6,2,Рассмотрение рекрутером,Не выходит на связь,1.231159162511525,2024-01-12 01:30:24.819968,2024-01-12 02:44:16.819968
6,3,Не выходит на связь,Отклонен,596.4122116205679,2024-01-12 02:44:16.819968,2024-02-05 23:09:00.819968
7,1,Новый,Рассмотрение заказчиком,487.9950136473107,2024-01-01 00:04:55.111353,2024-01-21 08:04:37.111353
7,2,Рассмотрение заказчиком,Отклонен,109.338436080529,2024-01-21 08:04:37.111353,2024-01-25 21:24:55.111353
8,1,Новый,Рассмотрение заказчиком,275.9321063145625,2024-01-01 00:01:56.366328,2024-01-12 11:57:51.366328
8,2,Рассмотрение заказчиком,Оценка кандидата,225.7585877672473,2024-01-12 11:57:51.366328,2024-01-21 21:43:22.366328
8,3,Оценка кандидата,Отклонен,633.9929708238138,2024-01-21 21:43:22.366328,2024-02-17 07:42:57.366328
9,1,Новый,Рассмотрение заказчиком,488.1486622995826,2024-01-01 00:01:06.488774,2024-01-21 08:10:01.488774
9,2,Рассмотрение заказчиком,Интервью,222.4570965616835,2024-01-21 08:10:01.488774,2024-01-30 14:37:26.488774
9,3,Интервью,Планирование интервью,1.301908844728184,2024-01-30 14:37:26.488774,2024-01-30 15:55:33.488774
9,4,Планирование интервью,Отклонен,360.6691073216846,2024-01-30 15:55:33.488774,2024-02-14 16:35:42.488774
10,1,Новый,Рассмотрение рекрутером,524.6464651994487,2024-01-01 00:04:44.620995,2024-01-22 20:43:31.620995
10,2,Рассмотрение рекрутером,Оценка кандидата,3.31592559193377,2024-01-22 20:43:31.620995,2024-01-23 00:02:28.620995
10,3,Оценка кандидата,Отклонен,699.2223336176401,2024-01-23 00:02:28.620995,2024-02-21 03:15:49.620995
11,1,Новый,Рассмотрение рекрутером,314.5806839829941,2024-01-01 00:04:07.151747,2024-01-14 02:38:57.151747
11,2,Рассмотрение рекрутером,Резерв,1.65450661576805,2024-01-14 02:38:57.151747,2024-01-14 04:18:13.151747
11,3,Резерв,Отклонен,8364.545886682674,2024-01-14 04:18:13.151747,2024-12-27 16:50:58.151747
12,1,Новый,Рассмотрение рекрутером,538.8249385536888,2024-01-01 00:04:26.085741,2024-01-23 10:53:55.085741
12,2,Рассмотрение рекрутером,Готов к переводу,2.086116612707026,2024-01-23 10:53:55.085741,2024-01-23 12:59:05.085741
12,3,Готов к переводу,Отклонен,245.0265847242871,2024-01-23 12:59:05.085741,2024-02-02 18:00:41.085741
13,1,Новый,Рассмотрение заказчиком,95.89417398654432,2024-01-01 00:04:13.699681,2024-01-04 23:57:52.699681
13,2,Рассмотрение заказчиком,Планирование интервью,508.6245742975967,2024-01-04 23:57:52.699681,2024-01-26 04:35:20.699681
13,3,Планирование интервью,Отклонен,461.5330815076703,2024-01-26 04:35:20.699681,2024-02-14 10:07:19.699681
14,1,Новый,Рассмотрение рекрутером,114.9790817440284,2024-01-01 00:00:46.489012,2024-01-05 18:59:30.489012
14,2,Рассмотрение рекрутером,Самоотказ,1.508149809234866,2024-01-05 18:59:30.489012,2024-01-05 20:30:00.489012
14,3,Самоотказ,Отклонен,328.9028807469691,2024-01-05 20:30:00.489012,2024-01-19 13:24:10.489012
15,1,Новый,Рассмотрение заказчиком,95.01828515648374,2024-01-01 00:00:47.263292,2024-01-04 23:01:52.263292
15,2,Рассмотрение заказчиком,Отклонен,401.589222846206,2024-01-04 23:01:52.263292,2024-01-21 16:37:14.263292
16,1,Новый,Рассмотрение заказчиком,294.0900329168837,2024-01-01 00:04:28.613718,2024-01-13 06:09:52.613718
16,2,Рассмотрение заказчиком,Интервью,252.4172027191113,2024-01-13 06:09:52.613718,2024-01-23 18:34:54.613718
16,3,Интервью,Заполнение анкеты,1.588851617505875,2024-01-23 18:34:54.613718,2024-01-23 20:10:13.613718
16,4,Заполнение анкеты,Заполнение анкеты,265.2394079705393,2024-01-23 20:10:13.613718,2024-02-03 21:24:35.613718
